group,trial,producer,phase_bytes,throughput_MB_s,write_syscall_s,max_write_ms,eagain_count,partial_count,write_calls,blocked_s,max_backpressure_wait_ms,syscall_s_per_GiB,eagain_per_GiB,partial_per_GiB
256-pre,1,0,246299359,4.105003410511709,1.438094915,11.877042,239047,239496,538718,58.189708775,17.886416,6.2693734299049675,1042125.1717578688,1044082.5868357376
256-pre,1,1,243292013,4.0548798589488815,1.395940736,0.673959,236369,236775,532585,58.24956905,3.89875,6.160826792404987,1043187.8879519814,1044979.7231017197
256-pre,1,2,242989131,4.049833091913039,1.389585222,0.586083,236204,236556,532127,58.25773677,3.096917,6.140421856456308,1043759.0881219128,1045314.5367977138
256-pre,1,3,240988681,4.016491338029605,1.407617539,0.54075,234372,234675,527925,58.244080911,30.221792,6.271737815853066,1044260.7417504725,1045610.7793178884
256-pre,1,4,239370919,3.9895260218948256,1.394673492,0.63125,232888,233164,524535,58.257252099,8.156208,6.256061786622164,1044661.5108985398,1045899.5591320598
256-pre,1,5,237651877,3.960875641103868,1.357746799,0.459875,231204,231488,520755,58.297456751,35.023667,6.134475110787454,1044609.4843008373,1045892.6329208501
256-pre,1,6,237203680,3.953406131544448,1.387510689,0.537167,230788,231058,519799,58.269411086,12.066625,6.280797405952373,1044700.1837294935,1045922.3835388726
256-pre,1,7,235791222,3.9298673235400545,1.379225056,0.605792,229408,229699,516715,58.278154778,5.239833,6.280690242726432,1044674.0225138322,1045999.1730776815
256-pre,1,8,235159582,3.919336818231515,1.378595045,0.5335,228937,229199,515590,58.280476513,3.867541,6.294683574389335,1045329.4306378211,1046525.7261725189
256-pre,1,9,234139044,3.902329562260469,1.36316842,0.49325,227957,228193,513354,58.296443842,16.503583,6.251374912549819,1045391.4938405916,1046473.7698511829
256-pre,1,10,233463711,3.8910737826262665,1.364719816,0.618542,227210,227446,511695,58.29760336,5.288917,6.276593215297535,1044979.876255972,1046065.2829317186
256-pre,1,11,232739238,3.878999712799081,1.35813191,0.612583,226505,226780,510147,58.305396588,9.408667,6.2657377707664565,1044980.1844118781,1046248.896143245
256-pre,1,12,232169287,3.869501788906321,1.385304966,1.109542,225756,226141,508620,58.270720604,11.458333,6.40679006344667,1044081.5077273507,1045862.0645252875
256-pre,1,13,231818355,3.8636516136851635,1.370220345,1.294959,225248,225698,507583,58.285745395,14.589917,6.346619500954569,1043309.0959184488,1045393.4167255738
256-pre,1,14,231429478,3.8571705667571847,1.425924837,0.956917,225016,225426,506984,58.231300436,10.998792,6.615730842063614,1043985.8066360242,1045888.0455022415
256-pre,1,15,231157295,3.8526348107128503,1.362712368,0.808583,224628,225067,506171,58.29683981,9.440542,6.329894384703191,1043412.7914564495,1045451.9772011002
256-pre,2,0,230581419,3.84303626796908,1.688662374,0.59875,224200,224510,505045,57.951659126,3.552375,7.8635452303246085,1044025.6547332637,1045469.2227661241
256-pre,2,1,226934463,3.782254035738856,1.652000413,0.576041,220801,221076,497321,57.995163743,5.340083,7.816450235253044,1044721.3056441939,1046022.4698556429
256-pre,2,2,226691156,3.7781989681197734,1.664952141,0.416166,220747,220944,497076,57.98237355,2.987292,7.88618656455237,1045586.8266097156,1046519.9337633445
256-pre,2,3,225183022,3.7530635649402035,1.665907036,0.474083,219166,219387,493569,57.983177232,2.930584,7.943556506001032,1045050.8147047783,1046104.6105948787
256-pre,2,4,223515453,3.725270650535121,1.65014973,0.474292,217648,217847,490104,58.000305786,3.036667,7.927124309223075,1045555.2731289321,1046511.2456136445
256-pre,2,5,222518362,3.708652161516624,1.66500382,0.586292,216703,216897,487965,57.986627649,3.724291,8.034322303045569,1045680.3312540653,1046616.4603536314
256-pre,2,6,221926200,3.698781959395002,1.67744438,0.458209,216226,216390,486836,57.977185869,3.143709,8.11595110554657,1046162.6416179072,1046956.1200766742
