group,trial,slots,correctness,latency_passed,throughput_MB_s,projected_p99_ms,resize_p99_ms,input_p99_ms,rtt_p99_ms,rtt_samples,owner_cpu_core_pct,fixture_cpu_core_pct,owner_rss_peak_MiB,rust_requested_peak_MiB,staging_peak_MiB,scratch_bytes,syscall_s,max_write_ms,eagain_count,partial_count,producer_blocked_s_median,producer_max_backpressure_wait_ms,producer_throughput_min_MB_s,producer_throughput_max_MB_s,syscall_s_per_GiB,eagain_per_GiB,partial_per_GiB,owner_cpu_core_pct_per_MB_s
256-pre,1,256,True,False,63.08737955232601,78.2,78.6,0.9,17.5,716,613.1010618067054,87.93342893259444,54.0625,24.03107452392578,3.9997262954711914,262144,22.159172155000004,11.877042,3681537,3686861,58.274437691,35.023667,3.8526348107128503,4.105003410511709,6.285089489616791,1044208.2105993426,1045718.2767791015,9.71828384943753
256-pre,2,256,True,False,59.26801719979557,87.9,87.4,0.8,5.0,695,681.9950696691967,96.37354505152145,52.703125,24.03122615814209,3.999600410461426,262144,26.597643094,0.678375,3463265,3466651,57.987738077,6.584042,3.6509385539149184,3.84303626796908,8.029723104417684,1045545.986497367,1046568.206486389,11.506966183298418
256-pre,3,256,True,False,57.297633194285204,90.5,94.1,0.9,4.6,684,682.2699308405495,98.52005502373937,53.21875,24.031249046325684,3.9990234375,262144,27.756130902,3.342833,3345928,3349957,57.9128958745,6.706042,3.521825022750076,3.733274927583092,8.668331685232687,1044944.4053031666,1046202.6753582803,11.907471440000043
256-pre,4,256,True,False,56.41643753131929,89.5,91.3,0.8,4.5,680,687.1541718251945,95.61912416201238,51.5625,24.031249046325684,3.9990234375,262144,26.021618808,1.719708,3296473,3299712,58.0248761435,6.262292,3.471793355720165,3.6680259179812786,8.252465135342945,1045439.513307137,1046466.7259018107,12.180034789394924
256-pre,5,256,True,False,55.27004876549051,90.7,89.4,0.8,4.6,675,691.503710018191,92.04823940075583,48.90625,24.031249046325684,3.999722480773926,262144,24.187980502,0.745417,3230227,3232989,58.146319699,11.20975,3.4050304063165484,3.580064864273157,7.831178587331412,1045828.7128405834,1046722.9468696053,12.511364210157017
128,1,128,True,False,56.24814731481797,47.1,46.4,0.9,18.6,864,692.0325145565437,98.76256217874305,48.1875,20.968811988830566,1.9993705749511719,262144,27.634750577,3.618416,3285781,3289355,57.913334662,27.32425,3.4629073952508995,3.6595255406782097,8.79083173886791,1045232.8064726408,1046369.7240122862,12.30320548485399
128,2,128,True,False,55.80590223159849,47.2,48.3,0.8,19.1,862,693.5130611202446,96.9597686568715,53.25,20.968811988830566,2.0,262144,26.308365353,0.689625,3261492,3264261,58.0057629395,4.701875,3.437019239463162,3.615529369568529,8.435140595139993,1045718.4701818492,1046606.2830122757,12.427234994644756
128,3,128,True,False,55.372215305297026,46.5,49.1,0.8,4.7,860,692.2019674853987,94.15191522925414,50.625,20.968811988830566,1.999685287475586,262144,24.84615374599999,1.976,3236387,3239058,58.093989972,32.042541,3.415020105797919,3.5842882271962555,8.028801765632556,1045808.132941039,1046671.2415628093,12.500889907852054
128,4,128,True,False,54.893480545331386,46.9,47.0,0.8,19.6,860,691.4280092164428,96.52951288287765,53.875,20.968811988830566,2.0,262144,26.243218584999997,2.694667,3208177,3210919,58.013876947499995,4.502417,3.3889721455549227,3.5443964341592378,8.554561321161358,1045776.7132011063,1046670.5291431809,12.595812878825512
128,5,128,True,False,55.21057837667208,46.8,46.5,0.9,34.6,863,693.7754714038454,99.25974572976573,51.53125,20.968811988830566,2.0,262144,27.515670525000004,0.717417,3226026,3229127,57.9340061165,58.233166,3.4027727291560645,3.5765028637981104,8.917358470527752,1045499.8816439984,1046504.8627362086,12.565988109571837
